,village_name,school,hospital,park,retail
0,南岸村民委员会,120,10,10,138
1,洲边村民委员会,30,7,6,132
2,邓岗村民委员会,33,7,10,73
3,范湖社区居民委员会,14,6,1,43
4,小柳店村委会,63,6,6,45
5,马起乏村委会,561,49,5,348
6,西柳村委会,46,16,0,92
7,行宫村委会,699,55,7,410
8,湘山村委会,25,10,0,30
9,下界溪村委会,22,7,0,23
10,东谢村委会,22,7,0,23
11,韩浜村委会,37,16,1,39
12,新屯南村委会,37,16,1,43
13,潘韩村委会,12,11,1,8
14,共何村委会,65,14,1,66
15,新下湖村委会,62,14,1,65
16,雀嘴村委会,44,10,0,44
17,舜岸村委会,13,0,0,11
18,五夫村委会,54,13,2,72
19,陈家坊村委会,14,2,0,9
20,菜园村委会,14,4,0,20
21,冯庄村委会,14,4,0,20
22,王喇村委会,6,3,0,17
23,草舍村委会,5,2,0,7
24,嵇东村委会,3,5,0,1
25,广山村委会,5,3,0,11
26,江南村委会,1,0,0,1
27,北袁旗营村委会,302,50,8,170
28,东明集村委会,27,9,0,21
29,荆台集村委会,38,7,0,31
30,任老屯村委会,23,7,0,27
31,夏行村委会,152,21,0,93
32,段末营村委会,15,6,0,9
33,临河店村委会,15,3,0,7
34,周管营村委会,25,7,0,22
35,胡庄村委会,225,29,1,134
36,宋庄村委会,19,7,0,14
37,马桥村委会,13,5,1,3
38,玉皇庙村委会,17,6,0,17
39,郝北城村委会,16,7,1,21
40,陈屯村委会,375,67,3,244
41,牛集村委会,34,4,1,48
42,景庄村委会,156,21,0,90
43,英疃村委会,414,36,6,284
44,郑庄村委会,46,8,0,55
45,贯庄村委会,304,30,5,244
46,和堂村委会,388,37,3,287
47,西蔡村委会,373,27,6,262
48,望东村委会,364,27,6,260
49,西榴村委会,12,4,0,21
50,东安村委会,10,5,0,22
51,青南村委会,34,9,0,33
52,桃东村委会,29,7,1,34
53,桃北村委会,34,8,0,36
54,南芹村委会,16,4,1,19
55,北芹村委会,9,3,1,10
56,山后村委会,22,4,0,31
57,薛埠村委会,15,4,1,18
58,坦埠村委会,5,4,0,4
59,大联村委会,54,15,1,164
60,塘西村委会,26,5,5,32
61,斯村村委会,2,2,1,2
62,象塘夏楼村委会,23,5,3,20
63,溪西村委会,37,16,3,102
64,泉府村委会,48,13,4,95
65,花园村委会,57,16,4,112
66,南新村委会,54,15,4,104
67,上安恬村委会,48,12,3,86
68,防军村委会,23,6,3,47
69,南湖村委会,193,20,15,161
70,东湖村委会,3,2,1,5
71,夏屠村委会,23,7,3,44
72,双溪村委会,27,4,2,84
73,雅村村委会,105,20,3,269
74,许宅村委会,26,9,1,26
75,北关村委会,329,56,3,201
76,三十里铺村委会,211,16,13,106
77,长命水村民委员会,297,18,39,209
78,大雁村民委员会,53,6,18,246
79,大岑村民委员会,132,15,32,350
80,鳌山村民委员会,134,17,18,265
81,同安村民委员会,149,18,19,433
82,安乐村民委员会,216,20,21,564
83,和泰村民委员会,266,25,18,658
84,穗成村民委员会,443,34,27,692
85,永益村民委员会,399,34,24,696
86,益隆村民委员会,192,20,8,752
87,胜龙村民委员会,131,12,8,375
88,新胜村民委员会,187,12,7,575
89,坦背村民委员会,156,15,7,391
90,白鲤村民委员会,112,14,4,500
91,古四村民委员会,272,10,35,783
92,古三村民委员会,255,9,35,749
93,古二村民委员会,257,9,35,777
94,古一村民委员会,246,9,34,776
95,六坊村民委员会,271,13,37,761
96,七坊村民委员会,279,16,38,807
97,冈东村民委员会,273,15,37,751
98,冈南村民委员会,280,13,36,726
99,曹一村民委员会,261,14,35,789
100,曹二村民委员会,228,21,34,781
101,曹三村民委员会,298,12,34,893
102,海洲村民委员会,327,34,26,700
103,龙瑞村民委员会,831,59,65,1207
104,云汉村民委员会,918,57,70,1282
105,乐群村民委员会,635,50,42,1083
106,圣狮村民委员会,452,32,23,821
107,沙溪村民委员会,454,33,26,873
108,会,603,45,20,764
109,七村社区居民委员会,810,48,27,829
110,永二村民委员会,102,17,8,300
111,新前进村民委员会,128,14,4,312
112,高平村民委员会,74,9,8,162
113,新丰村民委员会,70,7,4,499
114,横东村民委员会,191,16,12,544
115,贴边村民委员会,131,14,1,746
116,宝裕村民委员会,55,5,5,310
117,新茂村民委员会,97,10,3,639
118,裕祥村民委员会,130,11,2,644
119,五沙村民委员会,63,5,4,351
120,三沙村民委员会,195,14,6,904
121,罗松村民委员会,103,17,9,206
122,阜沙村民委员会,90,13,6,126
123,牛角村民委员会,113,19,8,248
124,上南村民委员会,32,5,3,114
125,西山社区居民委员会,202,20,11,294
126,乌石村民委员会,252,23,17,469
127,白石村民委员会,125,10,10,287
