,coordinate,address,product,village_name,zoom,county,Latitude,Longitude
0,"32.481272,113.416361",南阳市镇平县石佛寺镇石佛寺村,jade,石佛寺村,"32.481272,113.416361,1000",镇平县,32.481272,113.416361
1,"34.096431,113.637290",河南省许昌市建安区灵井镇霍庄村 ,社火道具,霍庄村,"34.096431,113.637290,1000",许昌市,34.096431,113.637290
2,"34.746391,112.589760",河南省洛阳市孟津县平乐镇,牡丹画,平乐镇,"34.746391,112.589760,1000",孟津县,34.746391,112.589760
3,"34.613542,112.843571",河南省洛阳市偃师市马屯村 ,大鼓,马屯村 ,"34.613542,112.843571,1000",偃师市,34.613542,112.843571
4,"34.613542,112.843571",河南省洛阳市偃师市石佛镇贺庄村,jade,贺庄村,"34.613542,112.843571,1000",偃师市,34.613542,112.843571
5,"33.042093,112.153691",河南省南阳市镇平县罗营村,jade,罗营村,"33.042093,112.153691,1000",镇平县,33.042093,112.153691
6,"33.084681,112.164490",河南省南阳市镇平县老毕庄村,jade,毕庄村,"33.084681,112.164490,1000",镇平县,33.084681,112.164490
7,"34.752141,112.491841",河南省洛阳市孟津县朝阳村南石山村,唐三彩,石山村,"34.752141,112.491841,1000",孟津县,34.752141,112.491841
8,"34.930281,114.943701",河南省开封市兰考县固阳镇范场村,民族乐器,范场村,"34.930281,114.943701,1000",兰考县,34.930281,114.943701
9,"34.097381,113.649320",河南省许昌市建安区灵井镇郭店村,社火道具,郭店村,"34.097381,113.649320,1000",许昌市,34.097381,113.649320
11,"26.615451,100.179080",云南省大理白族自治州鹤庆县新华村,银器,新华村,"26.615451,100.179080,1000",鹤庆县,26.615451,100.179080
13,"34.693871,115.626291",山东省菏泽市曹县大集镇丁楼村,最美淘宝村,丁楼村,"34.693871,115.626291,1000",曹县,34.693871,115.626291
14,"30.181103,119.170511",浙江省杭州市临安区昌化镇白牛村,最美淘宝村,白牛村,"30.181103,119.170511,1000",杭州市,30.181103,119.170511
15,"32.888143,110.311141",湖北省十堰市郧西县涧池乡下营村,最美淘宝村,下营村,"32.888143,110.311141,1000",郧西县,32.888143,110.311141
16,"34.164251,118.663850",江苏省宿迁市沭阳县新河镇周圈村,最美淘宝村,周圈村,"34.164251,118.663850,1000",沭阳县,34.164251,118.663850
17,"23.605914,116.302666",广东省揭阳市揭东区锡场镇军埔村,最美淘宝村,军埔村,"23.605914,116.302666,1000",揭阳市,23.605914,116.302666
18,"37.104573,118.135691",山东省滨州市博兴县锦秋街道湾头村,最美淘宝村,湾头村,"37.104573,118.135691,1000",博兴县,37.104573,118.135691
19,"38.401771,116.019461",河北省沧州市肃宁县喝杯留善寺西乾泊村,最美淘宝村,西乾泊村,"38.401771,116.019461,1000",肃宁县,38.401771,116.019461
20,"29.436022,119.923301",浙江省金华市浦江县浦南街道石埠头村,最美淘宝村,埠头村,"29.436022,119.923301,1000",浦江县,29.436022,119.923301
21,"33.887400,118.146704",江苏省徐州市睢宁县沙集镇,最美淘宝村,沙集镇,"33.887400,118.146704,1000",睢宁县,33.887400,118.146704
22,"34.746491,112.595440",河南省洛阳市孟津县平乐镇,最美淘宝村,平乐镇,"34.746491,112.595440,1000",孟津县,34.746491,112.595440
