,village_name,school,hospital,clinic,park,retail,plaza,mobile,unicom,e_name
0,勐海镇,36,19,44,1,84,1,3,1,Menghai Village
1,黄松甸村,6,1,2,0,7,0,1,1,Huangsongdian Village
2,西南门村,18,4,14,1,26,0,3,2,Xinanmen Village
3,文峰村,155,22,85,1,127,1,6,5,Wenfeng Village
4,叶坑村,452,67,263,11,320,7,24,13,Yeken Village
5,秀峰村,214,27,129,6,189,3,8,6,Xiufeng Village
6,东安香村,21,5,7,0,9,0,4,3,Donganxiang Village
7,豆村村,10,1,1,0,7,0,1,1,Doucun Village
8,大赵村,9,1,0,0,8,0,1,1,Dazhao Village
9,梁里马村,115,17,34,6,68,4,6,7,Lianglima Village
10,田禾村,88,11,32,4,56,1,2,6,Tianhe Village
11,东马延村,35,5,14,1,32,0,4,2,Dongmayan Village
12,董家庄村,11,1,7,1,11,1,1,2,Dongjiazhuang Village
13,艾村,21,2,12,0,10,0,2,2,Aicun Village
14,郑周天村,20,3,13,0,9,0,1,1,Zhengzhoutian Village
15,节固村,57,11,16,2,36,2,4,3,Jiegu Village
16,高三洲村,15,1,1,0,9,0,0,0,Gaosanzhou Village
17,五里庄村,15,1,1,0,9,0,0,0,Wulizhuang Village
18,把里村,20,5,12,0,12,2,4,2,Bali Village
19,孙白社村,24,4,8,0,14,1,2,1,Sunbaishe Village
20,河门头村,17,5,11,0,15,1,2,2,Hementou Village
21,孙营西村,28,8,10,0,25,1,1,1,Sunyingxi Village
22,南孙庄村,22,5,3,0,15,0,2,0,Nansunzhuang Village
23,杨桥村,18,6,4,0,14,0,4,1,Yangqiao Village
24,莲花村,77,12,44,2,89,1,8,5,Lianhua Village
25,玉皇阁村,2,0,0,0,2,0,0,0,Yuhuangge Village
26,天岳村,188,28,115,1,170,4,16,5,Tianyue Village
27,尾泉村,0,0,0,0,0,0,0,0,Weiquan Village
28,新华村,4,0,1,0,2,0,0,0,Xinhua Village
29,石佛寺村,3,1,1,0,2,0,1,1,Shifosi Village
30,湾头村,31,16,11,6,22,4,4,3,Wantou Village
31,丁楼村,26,6,6,0,23,0,1,1,Dinglou Village
32,军埔村,146,10,42,5,117,4,9,6,Junpu Village
33,周圈村,17,8,10,1,34,0,3,1,Zhouquan Village
34,沙集镇,42,18,21,4,92,1,10,4,Shaji Village
35,西乾泊村,20,4,8,0,13,0,5,2,Xiqianbo Village
36,罗营村,48,10,21,1,34,3,4,1,Luoyin Village
37,老毕庄村,65,12,43,4,42,4,4,2,Laobizhuang Village
38,范场村,40,6,5,0,38,1,0,0,Fanchang Village
39,贺庄村,17,3,7,1,15,0,4,2,Hezhuang Village
40,马屯村 ,16,3,7,1,16,0,4,2,Matun Village
41,平乐镇,38,5,13,1,28,6,3,4,Pingle Village
42,南石山村,24,2,7,2,13,0,2,2,Nanshishan Village
43,郭店村,31,1,5,0,21,1,3,3,Guodian Village
44,霍庄村 ,21,1,2,0,19,0,1,4,Huozhuang Village
45,白牛村,20,8,20,2,30,0,4,2,Baitou Village
46,石埠头村,252,49,134,6,252,3,13,5,Shifutou Village
47,下营村,2,1,1,0,2,0,1,1,Xiayin Village
