,name,latitude,longitude,category,categorynumber,village_name,County
1416,唐僧寺[公交站],34.594467,112.810242,公交车站,0,马屯村 ,偃师市
1417,府店镇[公交站],34.576153,112.84581,公交车站,0,马屯村 ,偃师市
1418,刘村[公交站],34.562542,112.872993,公交车站,0,马屯村 ,偃师市
1419,府店[公交站],34.555748,112.877785,公交车站,0,马屯村 ,偃师市
1420,段西[公交站],34.655613,112.740608,公交车站,0,马屯村 ,偃师市
1421,槐新南路堤顶口[公交站],34.7043,112.785229,公交车站,0,马屯村 ,偃师市
1422,赵寨[公交站],34.644997,112.717415,公交车站,0,马屯村 ,偃师市
1423,偃师高中[公交站],34.716981,112.801309,公交车站,0,马屯村 ,偃师市
1424,偃师汽车站[公交站],34.72147,112.79404,公交车站,0,马屯村 ,偃师市
1425,中成百货[公交站],34.719327,112.785881,公交车站,0,马屯村 ,偃师市
1426,众志超市[公交站],34.720573,112.789192,公交车站,0,马屯村 ,偃师市
1427,塔庄[公交站],34.714289,112.772445,公交车站,0,马屯村 ,偃师市
1428,建设大厦[公交站],34.720301,112.781079,公交车站,0,马屯村 ,偃师市
1429,偃师宾馆[公交站],34.723461,112.787735,公交车站,0,马屯村 ,偃师市
1430,交警队[公交站],34.720654,112.778075,公交车站,0,马屯村 ,偃师市
1431,火车站[公交站],34.727161,112.793663,公交车站,0,马屯村 ,偃师市
1432,偃师火车站[公交站],34.72826,112.794182,公交车站,0,马屯村 ,偃师市
1433,百货楼[公交站],34.727291,112.790945,公交车站,0,马屯村 ,偃师市
1434,市政府[公交站],34.727512,112.791519,公交车站,0,马屯村 ,偃师市
1435,大张盛德美[公交站],34.721253,112.774497,公交车站,0,马屯村 ,偃师市
1436,和顺广场[公交站],34.724414,112.781855,公交车站,0,马屯村 ,偃师市
1437,大张盛德美[公交站],34.721253,112.774497,公交车站,0,马屯村 ,偃师市
1438,和顺广场[公交站],34.724414,112.781855,公交车站,0,马屯村 ,偃师市
1439,中医院[公交站],34.724545,112.781876,公交车站,0,马屯村 ,偃师市
1440,商城博物馆[公交站],34.725341,112.777308,公交车站,0,马屯村 ,偃师市
1441,石家庄村[公交站],34.718658,112.928719,公交车站,0,马屯村 ,偃师市
1442,偃化口[公交站],34.726002,112.771043,公交车站,0,马屯村 ,偃师市
1443,新城[公交站],34.734768,112.793144,公交车站,0,马屯村 ,偃师市
1444,虎头山公园[公交站],34.741314,112.795624,公交车站,0,马屯村 ,偃师市
